record_type,sequence,date,event_title,event_type,time_label,start_time,end_time,session_title,session_chair_name,session_chair_affiliation,speaker_name,speaker_affiliation,moderators,participants,location,notes,duty_no,duty,assigned_to,materials_needed
programme,1,"23 May (Saturday), 2026",Welcome and Introduction,welcome,9:00 – 9:05,9:00,9:05,,,,Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co-Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,2,"23 May (Saturday), 2026","Killing Off the Elderly, Sick, and other Unwanted (Expensive!) Patients",presentation,9:05 – 9:25,9:05,9:25,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Prof Mark J. Cherry,"The Dr. Patricia A. Hayes Professor in Applied Ethics, Professor and Chair, Department of Philosophy, St. Edward’s University, Austin, Texas, United States.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,3,"23 May (Saturday), 2026",How Should Autonomy be Understood in Euthanasia Practice and Policy?,presentation,9:25 –9:45,9:25,9:45,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Dr Simon Walker,"Senior Lecturer, Department of Bioethics, University of Otago, Dunedin, Otago, New Zealand.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,4,"23 May (Saturday), 2026",Interrogating Common Arguments for Physician-Assisted Suicide and Euthanasia,presentation,9:45 – 10:05,9:45,10:05,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Prof Ana S. Iltis,"Carlson Professor of University Studies, Professor of Philosophy, and Director, Center for Bioethics, Health and Society, Wake Forest University, Winston-Salem, North Carolina, United States.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,5,"23 May (Saturday), 2026",Beyond Secular Borders: Islamic Bioethical Perspectives on Euthanasia in Global Discourse,presentation,10:05 – 10:25,10:05,10:25,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",Prof Mohammed Ghaly,"Professor of Islam and Biomedical Ethics and Head of the Research Center for Islamic Legislation & Ethics, College of Islamic Studies, Hamad Bin Khalifa University, Doha, Qatar.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,6,"23 May (Saturday), 2026",Discussion,discussion,10:25 – 10:40,10:25,10:40,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,7,"23 May (Saturday), 2026",Intermission (Tea Break),break,10:40 – 10:50,10:40,10:50,"Session 1: Medically Assisted Dying Across Worldviews: Secular, Religious, and Ethical Perspectives",Prof Eric C. Ip,"Co-Director of the Centre for Medical Ethics and Law and Professor of the Faculty of Law, HKU, Hong Kong SAR.",,,,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,8,"23 May (Saturday), 2026",Is Medically Assisted Death a “Good Death”? From Global to Regioglobal Bioethics,presentation,10:50 – 11:10,10:50,11:10,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Ruiping Fan,"Chair Professor of Philosophy, Department of Public and International Affairs, City University of Hong Kong, Hong Kong SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,9,"23 May (Saturday), 2026",Physician-Assisted Suicide: A Reconstruction of an Ethical Perspective from Zhuangzi’s Daoism,presentation,11:10 – 11:30,11:10,11:30,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Ellen Y. Zhang,"Professor and Head, Department of Philosophy and Religious Studies, University of Macau, Macau SAR.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
programme,10,"23 May (Saturday), 2026",End-of-Life Autonomy in Taiwan: Public Attitudes Toward Physician-Assisted Dying,presentation,11:30 – 11:50,11:30,11:50,"Session 2: Medically Assisted Dying: Theoretical, Empirical, and Cross-Cultural Insights",Prof Gilberto K. K. Leung,"Director of the School of Clinical Medicine, LKS Faculty of Medicine, Co- Director of the Centre for Medical Ethics and Law, Clinical Professor and Tsang Wing Hing Professor in Clinical Neuroscience, HKU, Hong Kong SAR.",Prof Duan-Rung Chen,"Institute of Health Behaviors and Community Sciences, College of Public Health, National Taiwan University, Taiwan.",,,"Academic Conference Room, 11/F, Cheng Yu Tung Tower, Centennial Campus, The University of Hong Kong (HKU)",,,,,
